,Angola,Australia,British_Virgin_Islands,Cameroon,Central_African_Republic,Comoros,Democratic_Republic_of_the_Congo,Dominican_Republic,El_Salvador,French_Polynesia,Gabon,Haiti,Honduras,Mauritius,Mayotte,Mexico,Micronesia,New_Caledonia,Nicaragua,Nigeria,Panama,Papua_New_Guinea,Puerto_Rico,Reunion,Saint_Lucia,Senegal,Seychelles,South_Africa,Tanzania,Tonga,Trinidad_and_Tobago,USA
Panama,0.0258039105455,0.0193576351884,0.112628030537,0.0304059505129,0.0321021693942,0.0285325510011,0.0673632955888,0.0849127063397,0.0695798873258,0.0870540141729,0.0355977957251,0.0818035868631,0.0744700185188,0.0274816685386,0.0678852825234,0.0802208580139,0.0716176562393,0.0779071471376,0.140483384792,0.0382171834007,,0.0277683675359,0.0691393391827,0.0543543586134,0.104272933791,0.0591416202378,0.028671017525,0.0615051462748,0.0443479426689,0.0796593447988,0.0744679046186,0.115728787863
Papua_New_Guinea,0.0225949141188,1.04528744962,0.0169970729114,0.0310456543946,0.0276528276613,0.0415831264317,0.0354366804944,0.027528615152,0.0273508615995,0.0227185076169,0.0134581836464,0.0124125373046,0.0191264985783,0.0965534966186,0.127430830587,0.0161067430833,0.0230283502323,0.0174561656747,0.0293600366868,0.0160963575366,0.0125711135078,,0.011459177634,0.0493597959683,0.0199494851125,0.0335206864946,0.0317503382837,0.0379582499338,0.0841686329234,0.0283808906544,0.0170650464754,0.256948989373
Puerto_Rico,0.0666434850224,0.0140376205725,0.0730648661943,0.0189825639356,0.0355654301896,0.0272709609285,0.0563125239504,0.0640592784792,0.0668170323903,0.0521719394387,0.0262042751466,0.110977119376,0.101736406993,0.0216840579733,0.019072871969,0.0487492740917,0.08210837882,0.0416517432494,0.0792041926195,0.0289047437339,0.0809903689137,0.0398392862341,,0.0821676958152,0.152781557389,0.0554797734972,0.0272286561861,0.0225573996681,0.0396116659163,0.0981840584774,0.0764281634248,0.0362857887466
Reunion,0.0841291026958,0.024172164958,0.032329694123,0.0174652999071,0.144222185857,0.424787713129,0.0364735421138,0.0141686705971,0.0228279290271,0.0250631919353,0.0246273924575,0.0077195964195,0.0182707358748,0.598676381903,0.0393159062395,0.0273907757636,0.0212229470624,0.0140695317979,0.0517208679435,0.0178246179525,0.0324493866913,0.105823688768,0.0203106901233,,0.0170718517453,0.048427347488,0.470021801639,0.0439029758639,0.137159957748,0.014269727101,0.0342842827548,0.374917039697
Saint_Lucia,0.0350629426019,0.0370971927405,0.0728509580154,0.028710120179,0.0579447217823,0.0154962512895,0.052385394974,0.101506001016,0.0644748795365,0.0663973985799,0.0125261030512,0.0634119681549,0.176983116891,0.0154648317871,0.0296437272322,0.0328917913015,0.0704643169977,0.132627827786,0.0382776949371,0.0201792714563,0.124159182976,0.0171073629199,0.0590894551582,0.0625186518433,,0.0622076713731,0.0444983535436,0.026241686018,0.0514395286405,0.100553307547,0.0598243634593,0.232627081688
Senegal,0.0146038261999,0.00368881968691,0.00520824386703,0.0104228328848,0.0157686696085,0.00497778379805,0.0211344809977,0.0046331391851,0.00472691741133,0.00658451794692,0.00817045978628,0.00299295916075,0.0031683524443,0.00742660501817,0.0108027621878,0.00503203199292,0.00482025672581,0.00744193705926,0.0176564679848,0.764207369607,0.00659034491118,0.00606379115446,0.00687518078514,0.0101107233299,0.00501843846909,,0.00830410419634,0.00467375101681,0.0120658368995,0.00429260002965,0.00334792474913,0.00791404964204
Seychelles,0.0413003379489,0.0344749994555,0.0339649234461,0.0169579268033,0.0427738132891,0.72415806674,0.0680594105908,0.0297143769761,0.0221783359024,0.0352756106145,0.0390631864784,0.0183523508004,0.011240950864,0.0713865705511,0.0102869190715,0.0302230150009,0.023438627424,0.0129116197873,0.025110888328,0.0152243166854,0.0384274241678,0.0356309692934,0.0150686073752,0.2023480155,0.0411269447449,0.0581313310177,,0.0347970306694,0.104852575002,0.0139427763257,0.0383612174116,0.250264689425
South_Africa,0.0426092753301,0.0145435433766,0.0215612701116,0.0295259958827,0.0799213119009,0.0318837596766,0.073580083268,0.0306442099562,0.0439563578184,0.0507578063675,0.0360890739231,0.0358513886524,0.0372303718087,0.0443985138121,0.0418705605126,0.0399402141519,0.0700951603001,0.0463596212158,0.0407640742468,0.0430095946164,0.0372516028467,0.0439990549602,0.0300609665751,0.0533988772254,0.0459497684611,0.0751817150557,0.0364238076026,,0.109919040345,0.0284659427389,0.031605611101,0.0712313230067
Tanzania,0.0718721280498,0.0170414421517,0.0182486349001,0.0443170941598,0.0872689718117,0.0259136554183,0.0862178041924,0.0172095040744,0.018731841875,0.0599148418379,0.0169728409088,0.0104105493869,0.0177040185868,0.0762406756307,0.0125823770097,0.0667738668945,0.0130732856585,0.0186468404733,0.0452790008814,0.0276864239052,0.0284872201307,0.0259509763774,0.0152720374707,0.157089762578,0.0111122712557,0.0373042514011,0.0303684777114,1.01010252167,,0.0309977003375,0.0280801294987,0.0929813587382
Tonga,0.040688513999,0.0318421672392,0.121065969841,0.0272099431732,0.0598722460892,0.0323203464637,0.0466740544212,0.0655856011093,0.0636350209382,0.078186250437,0.0382007028582,0.0924316117512,0.0718047183716,0.0432567010315,0.0271234230394,0.0295720601207,0.0477695826012,0.0697752220869,0.0609856622795,0.0130060023566,0.111048573639,0.0309982258163,0.0913446969096,0.0275769272282,0.073262143509,0.0498124285928,0.0299734683009,0.0262915547911,0.0364996379909,,0.123225568341,0.046612678844
Trinidad_and_Tobago,0.0288339394331,0.0287297683016,0.0988344789864,0.0158301837922,0.0362065715584,0.0343261026009,0.0370544420303,0.0499024656045,0.137887864538,0.121741641253,0.0277262006185,0.10094169318,0.12543293993,0.0278346132362,0.0145569331211,0.0842835381199,0.0613778851828,0.123585232243,0.127078116916,0.0213378953554,0.105482348754,0.0223402627088,0.0654010239596,0.0767728167631,0.0936201814982,0.0546929429631,0.0734405534402,0.0372293413099,0.0441323729657,0.0589944094817,,0.0929264474175
USA,0.0154506942249,0.0319834209929,0.17270690745,0.0187478272218,0.031933957202,0.0532466948268,0.0351755393413,0.2533493479,0.247306943984,0.241428450477,0.0127849949648,0.227944984791,0.229903640182,0.0434846916676,0.0122536489444,0.517084210451,0.207833100703,0.438415934041,0.329580704851,0.00993999789272,0.230263449723,0.0405301026156,0.233514925196,0.044848017762,0.252731481593,0.0173200772527,0.069832866064,0.0217558466178,0.0360368812729,0.330258093035,0.245066913207,
